code,Company name,Listing date,GICs industry group,Market Cap
BHP,BHP GROUP LIMITED,1885-08-13,Materials,262127094778
CBA,COMMONWEALTH BANK OF AUSTRALIA.,1991-09-12,Banks,181816025300
CSL,CSL LIMITED,1994-06-08,Pharmaceuticals Biotechnology & Life Sciences,126669479707
NAB,NATIONAL AUSTRALIA BANK LIMITED,1962-01-31,Banks,106429144491
WBC,WESTPAC BANKING CORPORATION,1970-07-18,Banks,85042391687
MQG,MACQUARIE GROUP LIMITED,2007-11-05,Diversified Financials,77857451453
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1969-09-30,Banks,76809923743
FMG,FORTESCUE METALS GROUP LTD,1987-03-19,Materials,65705111350
WES,WESFARMERS LIMITED,1984-11-15,Retailing,54869916522
TLS,TELSTRA CORPORATION LIMITED.,1997-11-17,Telecommunication Services,47002374394
WOW,WOOLWORTHS GROUP LIMITED,1993-07-12,Food & Staples Retailing,46443890023
RMD,RESMED INC,1999-11-25,Health Care Equipment & Services,46279242976
RIO,RIO TINTO LIMITED,1962-09-19,Materials,44731554028
GMG,GOODMAN GROUP,2005-02-02,Real Estate,42259195416
TCL,TRANSURBAN GROUP,1996-03-14,Transportation,41823135331
WPL,WOODSIDE PETROLEUM LTD,1971-11-18,Energy,31536585377
STO,SANTOS LIMITED,1954-10-01,Energy,27434065244
NCM,NEWCREST MINING LIMITED,1987-06-04,Materials,24927069824
COL,COLES GROUP LIMITED.,2018-11-21,Food & Staples Retailing,24438587142
S32,SOUTH32 LIMITED,2015-05-18,Materials,23782612756
AMC,AMCOR PLC,1969-08-28,Materials,23608464904
ALL,ARISTOCRAT LEISURE LIMITED,1996-07-09,Consumer Services,21889985481
JHX,JAMES HARDIE INDUSTRIES PLC,2001-10-15,Materials,17661164076
QBE,QBE INSURANCE GROUP LIMITED,1973-06-28,Insurance,17478950766
SHL,SONIC HEALTHCARE LIMITED,1987-04-30,Health Care Equipment & Services,17074754851
NWS,NEWS CORPORATION..,2013-06-19,Media & Entertainment,16966728669
NWSLV,NEWS CORPORATION..,2013-06-19,Media & Entertainment,16966728669
REA,REA GROUP LTD,1999-12-01,Media & Entertainment,16897792054
ASX,ASX LIMITED,1998-10-14,Diversified Financials,15959985155
WTC,WISETECH GLOBAL LIMITED,2016-04-11,Software & Services,15429646067
SCG,SCENTRE GROUP,2014-06-25,Real Estate,15311616100
XRO,XERO LIMITED,2012-11-08,Software & Services,15063873238
CPU,COMPUTERSHARE LIMITED.,1994-05-27,Software & Services,14966450239
COH,COCHLEAR LIMITED,1995-12-04,Health Care Equipment & Services,14781011483
RHC,RAMSAY HEALTH CARE LIMITED,1997-09-24,Health Care Equipment & Services,14710227180
BXB,BRAMBLES LIMITED,2006-11-27,Commercial & Professional Services,14283791832
